schoolID,regionID,studentID,transferDate
24,4,3994,2019-12-21
167,4,5819,2021-01-03
87,2,65993,2023-03-09
54,1,57806,2018-12-22
117,4,88859,2021-04-22
183,4,86954,2018-05-29
61,4,57663,2021-06-22
180,1,95387,2023-04-30
253,2,99896,2018-11-20
201,2,38440,2023-01-12
261,4,51780,2021-11-02
299,2,37887,2022-11-07
153,1,85071,2019-06-12
288,3,85558,2023-04-09
27,1,41568,2021-08-11
129,3,93814,2021-02-20
261,4,103426,2018-06-07
300,1,54492,2021-05-19
108,1,96595,2019-05-08
21,3,47719,2022-08-30
167,4,20524,2021-05-10
87,2,94714,2021-11-03
33,2,93316,2020-05-21
18,4,45826,2021-02-08
97,4,103650,2023-03-05
138,3,91823,2022-09-04
30,3,29920,2018-05-25
22,1,54110,2021-08-21
254,1,60561,2018-09-17
229,2,44806,2020-06-04
163,1,53244,2018-05-29
226,3,98113,2018-07-21
227,4,53495,2022-05-04
304,4,5956,2019-12-21
170,4,6487,2019-02-14
55,4,104931,2022-03-28
274,2,68462,2021-01-31
302,2,71291,2020-02-22
161,1,22021,2019-12-07
92,3,71306,2018-08-18
192,4,688,2020-05-18
31,2,86207,2019-11-04
65,2,83081,2023-05-08
162,4,48384,2023-02-07
86,1,68376,2019-10-30
323,1,96444,2019-04-03
24,4,58292,2022-11-26
155,4,7913,2022-06-14
61,4,48330,2021-10-07
299,2,14082,2018-10-28
182,2,87951,2021-10-29
314,1,74240,2020-04-03
85,2,60549,2019-09-25
197,2,26814,2021-04-29
270,2,1905,2023-02-16
216,1,91461,2019-09-03
144,2,29736,2021-03-21
91,2,99621,2021-10-20
81,4,80513,2022-09-27
81,4,25213,2018-09-12
278,4,54584,2018-10-03
253,2,58755,2020-09-15
248,3,65847,2023-04-26
271,1,8231,2018-06-29
135,1,91775,2019-09-30
11,2,30601,2019-02-23
155,4,78747,2022-06-22
148,3,53629,2020-02-22
141,1,98977,2021-07-02
199,1,3227,2021-05-21
259,2,5024,2020-12-23
1,1,50744,2018-11-26
226,3,50230,2023-01-27
300,1,78592,2021-02-04
260,4,10279,2022-05-26
248,3,18593,2019-09-07
92,3,103703,2019-08-28
12,3,81394,2021-03-04
160,1,87816,2021-05-05
154,2,26749,2022-11-04
238,1,14095,2022-07-26
77,1,62658,2020-12-20
173,2,57702,2022-10-04
240,1,91766,2021-03-09
226,3,82283,2020-11-23
42,4,12470,2021-06-16
36,1,42051,2018-08-05
292,4,93241,2022-04-14
118,4,60299,2020-05-06
297,3,93419,2020-02-23
257,2,4449,2019-06-17
188,2,11834,2022-08-02
116,4,345,2019-04-27
159,1,89654,2021-11-25
136,2,7922,2022-02-21
239,1,100242,2021-04-30
111,1,62526,2018-12-23
39,2,55921,2018-10-02
56,2,47654,2020-01-05
99,1,23845,2021-03-15
118,4,78525,2022-07-21
184,3,17009,2019-08-20
38,4,105223,2018-10-20
257,2,103737,2018-08-15
1,1,47560,2019-09-04
304,4,6632,2018-08-15
101,3,24685,2019-06-15
63,1,26804,2022-08-20
135,1,101767,2018-06-20
265,2,12921,2021-01-15
315,2,36096,2023-02-28
252,1,49219,2019-06-11
266,1,96743,2020-05-18
308,2,30965,2019-03-17
115,1,58287,2020-04-26
188,2,104694,2020-05-05
220,1,64075,2021-06-14
15,3,89854,2020-10-23
65,2,22425,2021-10-20
325,2,35445,2021-01-10
106,1,85920,2019-04-01
3,2,103126,2022-01-13
206,1,13840,2019-10-23
184,3,85275,2018-08-25
312,2,93805,2022-02-16
170,4,27031,2019-03-21
91,2,54720,2020-07-26
39,2,57101,2019-06-15
72,2,87583,2022-05-09
